Day,Time,Temperature,Humidity,pH,Moisture
2022-05-05,20:58:00,71.6,45,6.78,6.00
2022-05-05,20:58:14,71.6,46,6.78,3.00
2022-05-05,21:53:02,71.6,46,6.76,9.00
2022-05-05,21:53:16,71.6,45,6.76,5.00
2022-05-05,21:53:29,71.6,45,6.77,16.00
2022-05-05,21:53:46,71.6,45,6.65,8.00
2022-05-05,21:56:15,71.6,45,6.77,4.00
2022-05-05,21:56:28,71.6,46,6.76,5.00
2022-05-05,21:56:41,71.6,46,6.75,9.00
2022-05-05,21:56:55,71.6,45,6.76,4.00
2022-05-05,21:57:08,71.6,45,6.75,0.00
2022-05-05,21:57:21,71.6,45,6.75,11.00
2022-05-05,21:57:35,71.6,45,6.75,4.00
2022-05-05,21:57:48,71.6,45,6.74,1.00
2022-05-05,21:58:02,71.6,45,6.76,7.00
2022-05-05,22:55:03,73.4,45,6.81,1.00
2022-05-05,22:55:16,71.6,46,6.77,5.00
2022-05-05,22:55:33,71.6,46,6.81,9.00
2022-05-05,22:55:50,71.6,46,6.80,7.00
2022-05-05,22:56:05,71.6,46,6.81,6.00
2022-05-05,22:56:19,71.6,45,6.79,17.00
2022-05-05,22:56:49,71.6,45,6.80,8.00
2022-05-05,22:57:11,73.4,45,6.81,3.00
2022-05-05,22:57:12,73.4,45,6.80,7.00
2022-05-05,22:57:26,73.4,45,6.81,1.00
2022-05-05,22:57:43,73.4,45,6.81,10.00
2022-05-05,23:19:06,73.4,45,6.80,1.00
2022-05-05,23:19:20,71.6,46,6.77,5.00
2022-05-05,23:34:35,71.6,45,6.14,13.00
2022-05-05,23:34:45,73.4,44,6.82,0.00
2022-05-05,23:34:50,73.4,45,6.82,6.00
2022-05-05,23:34:59,73.4,45,6.83,7.00
2022-05-05,23:35:04,73.4,45,6.84,1.00
2022-05-05,23:35:12,73.4,44,6.83,9.00
2022-05-05,23:35:26,73.4,44,6.83,5.00
2022-05-05,23:35:41,73.4,44,6.83,5.00
2022-05-05,23:35:55,73.4,44,6.84,15.00
2022-05-05,23:36:10,73.4,44,6.82,10.00
2022-05-05,23:36:24,73.4,44,6.82,7.00
2022-05-05,23:36:38,73.4,44,6.82,6.00
2022-05-05,23:36:53,73.4,44,6.84,5.00
2022-05-05,23:37:12,73.4,44,6.82,17.00
2022-05-05,23:37:26,73.4,44,6.82,6.00
2022-05-05,23:37:40,73.4,44,6.81,10.00
2022-05-05,23:37:55,73.4,44,6.80,7.00
2022-05-05,23:38:07,73.4,44,6.83,17.00
2022-05-05,23:38:21,71.6,44,6.82,21.00
2022-05-05,23:38:34,73.4,44,6.82,10.00
2022-05-05,23:38:50,71.6,44,6.80,6.00
2022-05-05,23:39:05,71.6,44,6.82,7.00
2022-05-05,23:39:19,71.6,44,6.82,4.00
2022-05-05,23:39:46,71.6,44,6.80,10.00
2022-05-05,23:40:21,71.6,44,.2,7.00
2022-05-05,23:40:51,71.6,44,6.82,9.00
2022-05-05,23:41:05,71.6,44,6.80,2.00
2022-05-05,23:41:18,71.6,44,6.82,5.00
2022-05-05,23:41:30,71.6,44,6.82,17.00
2022-05-05,23:41:46,71.6,44,6.81,2.00
2022-05-05,23:41:58,71.6,44,6.80,10.00
2022-05-05,23:43:17,71.6,44,6.78,7.00
2022-05-05,23:43:36,71.6,45,6.81,6.00
2022-05-05,23:43:52,71.6,46,6.81,1.00
2022-05-05,23:44:07,71.6,46,6.81,12.00
2022-05-05,23:44:20,71.6,46,6.81,3.00
2022-05-05,23:44:34,71.6,46,6.80,6.00
2022-05-05,23:44:49,71.6,45,6.81,9.00
2022-05-05,23:45:03,71.6,46,6.82,3.00
2022-05-05,23:45:18,71.6,45,6.81,10.00
2022-05-05,23:45:32,71.6,45,6.82,17.00
2022-05-05,23:46:01,71.6,45,6.80,1.00
2022-05-05,23:46:16,71.6,45,6.82,15.00
2022-05-05,23:46:30,71.6,46,6.82,5.00
2022-05-05,23:46:42,71.6,46,6.82,10.00
2022-05-05,23:47:01,71.6,46,6.81,10.00
2022-05-05,23:47:15,71.6,46,6.82,5.00
2022-05-05,23:47:30,71.6,46,6.82,7.00
2022-05-05,23:47:44,71.6,46,6.82,1.00
2022-05-05,23:47:50,71.6,49,6.83,4.00
2022-05-05,23:48:01,71.6,48,6.82,8.00
2022-05-05,23:48:15,71.6,48,6.75,7.00
2022-05-05,23:50:00,71.6,47,6.83,5.00
2022-05-05,23:50:38,71.6,50,6.83,6.00
2022-05-05,23:50:52,71.6,49,6.83,4.00
2022-05-05,23:51:07,71.6,50,6.81,1.00
2022-05-05,23:53:55,71.6,50,6.83,13.00
2022-05-05,23:54:18,71.6,50,6.82,7.00
2022-05-05,23:54:32,71.6,50,6.84,6.00
2022-05-05,23:54:47,71.6,50,6.84,7.00
2022-05-05,23:55:03,71.6,50,6.83,2.00
2022-05-05,23:55:18,71.6,51,6.84,7.00
2022-05-05,23:55:33,71.6,50,6.84,9.00
2022-05-05,23:55:48,71.6,50,6.83,5.00
2022-05-05,23:56:02,71.6,51,6.85,7.00
2022-05-05,23:56:24,71.6,51,6.84,1.00
2022-05-05,23:56:26,71.6,50,6.82,14.00
2022-05-05,23:56:41,71.6,50,6.76,11.00
2022-05-05,23:56:55,71.6,50,6.84,6.00
2022-05-05,23:57:27,71.6,51,6.83,13.00
2022-05-05,23:57:30,71.6,51,6.83,4.00
2022-05-05,23:57:44,71.6,51,6.84,1.00
2022-05-05,23:57:59,71.6,50,6.82,6.00
2022-05-05,23:58:21,71.6,50,6.82,13.00
2022-05-05,23:59:34,71.6,50,6.83,2.00
2022-05-05,23:59:56,71.6,50,6.84,13.00
2022-05-06,00:02:00,71.6,50,6.83,5.00
2022-05-06,00:02:10,71.6,49,6.84,3.00
2022-05-06,00:02:15,71.6,49,6.84,7.00
2022-05-06,00:02:29,71.6,49,6.84,24.00
2022-05-06,00:02:44,71.6,50,6.84,1.00
2022-05-06,00:03:06,71.6,50,6.81,12.00
2022-05-06,00:03:46,71.6,51,6.85,1.00
2022-05-06,00:04:00,71.6,51,6.84,7.00
2022-05-06,00:04:16,71.6,50,6.84,4.00
2022-05-06,00:04:30,71.6,51,6.84,4.00
2022-05-06,00:08:02,71.6,49,6.83,13.00
2022-05-06,00:08:24,71.6,49,6.84,5.00
2022-05-06,00:08:45,71.6,49,6.85,1.00
2022-05-06,16:37:29,69.8,54,7.20,4.00
